upit,jezik,tip,macroF1,tacnost,neparsirano,n
en_few,engleski,few,0.7368461394218023,0.7333563297688859,0,2899
sr_few,srpski,few,0.721196253227424,0.7074853397723353,36,2899
en_zero,engleski,zero,0.663882032324356,0.6640302613480055,0,2908
sr_zero,srpski,zero,0.5835726043757438,0.5931911966987621,0,2908
sr_def,srpski,def,0.5323306777108608,0.546767537826685,0,2908
en_def,engleski,def,0.5318236665608476,0.5557083906464925,1,2908
