konfiguracija,cv_macroF1,razlika,p_vrednost,znacajno_p<0.05
lower+lema | REC+CHAR | LogRegresija,0.6616,0.0019,0.8125,False
lower+lema | REC+CHAR | LinearSVM,0.6594,0.0041,0.4375,False
lower+stem | REC+CHAR | LinearSVM,0.657,0.0066,0.1875,False
lower | REC+CHAR | LinearSVM,0.6562,0.0074,0.1875,False
lower | REC+CHAR | LogRegresija,0.6559,0.0076,0.0625,False
lower+lema | CHAR_3-5 | LogRegresija,0.6553,0.0082,0.4375,False
lower+stem | CHAR_3-5 | LogRegresija,0.6532,0.0103,0.0625,False
lower+lema | TFIDF_1-2 | LogRegresija,0.6508,0.0127,0.125,False
lower | CHAR_3-5 | LogRegresija,0.6496,0.0139,0.0625,False
lower+lema | CHAR_3-5 | LinearSVM,0.6492,0.0144,0.1875,False
lower+stem | CHAR_3-5 | LinearSVM,0.6481,0.0155,0.0625,False
lower | CHAR_3-5 | LinearSVM,0.6474,0.0162,0.125,False
lower+stem | TFIDF_1-2 | LogRegresija,0.6473,0.0162,0.0625,False
lower | IDF | LinearSVM,0.6458,0.0178,0.0625,False
lower+stem | TFIDF_1-2 | LinearSVM,0.6457,0.0178,0.125,False
lower | TFIDF_1-2 | LinearSVM,0.6456,0.0179,0.0625,False
lower | TFIDF | LogRegresija,0.6445,0.0191,0.0625,False
lower+lema | TFIDF_1-2 | LinearSVM,0.6444,0.0191,0.0625,False
lower | TFIDF_1-2 | LogRegresija,0.6442,0.0193,0.0625,False
lower | TFIDF | LinearSVM,0.6429,0.0206,0.0625,False
lower | IDF | LogRegresija,0.6423,0.0213,0.0625,False
lower+stem | IDF | LinearSVM,0.6417,0.0219,0.0625,False
lower+stem | IDF | LogRegresija,0.6405,0.023,0.0625,False
lower+lema | TFIDF | LinearSVM,0.6403,0.0233,0.0625,False
lower+stem | TFIDF_1-3 | LinearSVM,0.6393,0.0243,0.0625,False
lower+stem | TFIDF | LogRegresija,0.6391,0.0244,0.0625,False
lower+stem | TFIDF_1-3 | LogRegresija,0.6385,0.025,0.0625,False
lower+lema | TFIDF | LogRegresija,0.6385,0.0251,0.0625,False
lower+lema | TFIDF_1-2 | MultinomialNB,0.6383,0.0252,0.125,False
lower+lema | TFIDF_1-3 | LogRegresija,0.6383,0.0252,0.0625,False
lower+stem | TFIDF | LinearSVM,0.638,0.0255,0.0625,False
lower+lema | IDF | LogRegresija,0.6378,0.0258,0.0625,False
lower | REC+CHAR | MultinomialNB,0.6368,0.0267,0.0625,False
lower+lema | IDF | LinearSVM,0.6364,0.0271,0.0625,False
lower | TFIDF_1-3 | LogRegresija,0.6349,0.0287,0.0625,False
lower+stem | TFIDF_1-2 | MultinomialNB,0.6342,0.0293,0.0625,False
lower | TFIDF_1-2 | MultinomialNB,0.6341,0.0295,0.0625,False
lower+lema | REC+CHAR | MultinomialNB,0.6341,0.0295,0.125,False
lower | TFIDF_1-3 | LinearSVM,0.6329,0.0306,0.0625,False
lower+stem | REC+CHAR | MultinomialNB,0.6326,0.031,0.0625,False
lower+lema | TFIDF_1-3 | LinearSVM,0.6324,0.0311,0.0625,False
lower+stem | TFIDF_1-3 | MultinomialNB,0.629,0.0345,0.0625,False
lower+lema | IDF | MultinomialNB,0.6277,0.0358,0.0625,False
lower+lema | TFIDF | MultinomialNB,0.6266,0.0369,0.0625,False
lower | TFIDF_1-3 | MultinomialNB,0.6245,0.039,0.0625,False
lower | IDF | MultinomialNB,0.6231,0.0404,0.0625,False
lower+lema | TFIDF_1-3 | MultinomialNB,0.6221,0.0414,0.0625,False
lower | TFIDF | MultinomialNB,0.6212,0.0423,0.0625,False
lower | CHAR_3-5 | MultinomialNB,0.6199,0.0436,0.0625,False
lower+stem | TFIDF | MultinomialNB,0.6194,0.0441,0.0625,False
lower+stem | IDF | MultinomialNB,0.6185,0.045,0.0625,False
lower+lema | CHAR_3-5 | MultinomialNB,0.6179,0.0456,0.0625,False
lower+stem | CHAR_3-5 | MultinomialNB,0.6175,0.046,0.0625,False
lower | TF | LinearSVM,0.6162,0.0473,0.0625,False
lower+stem | TF | LinearSVM,0.6162,0.0473,0.0625,False
lower+stem | TF | LogRegresija,0.6157,0.0478,0.0625,False
lower | TF | MultinomialNB,0.6146,0.0489,0.0625,False
lower+lema | TF | MultinomialNB,0.6128,0.0507,0.0625,False
lower | TF | LogRegresija,0.6116,0.0519,0.0625,False
lower+lema | TF | LogRegresija,0.6115,0.052,0.0625,False
lower+lema | TF | LinearSVM,0.6114,0.0522,0.0625,False
lower+stem | TF | MultinomialNB,0.607,0.0565,0.0625,False
lower | TF | Vecinski,0.1715,0.4921,0.0625,False
lower+stem | TF | Vecinski,0.1715,0.4921,0.0625,False
lower+lema | TF | Vecinski,0.1715,0.4921,0.0625,False
