pretprocesiranje,odlike,model,cv_macroF1_sr,cv_macroF1_std,test_macroF1,test_tacnost,hiperparametri,vreme_s
lower+stem,REC+CHAR,LogRegresija,0.6635389016078298,0.01667244071932804,0.6268438487681341,0.631578947368421,"{""clf__C"": 1}",49.5
lower+lema,REC+CHAR,LogRegresija,0.6616436671092637,0.019492882216329523,0.6243835629355133,0.6280701754385964,"{""clf__C"": 1}",45.5
lower+lema,REC+CHAR,LinearSVM,0.659391511309567,0.01438991685588545,0.627225030297656,0.631578947368421,"{""clf__C"": 0.1}",38.6
lower+stem,REC+CHAR,LinearSVM,0.6569577948566836,0.013016400771090508,0.6248033748033748,0.631578947368421,"{""clf__C"": 0.1}",45.3
lower,REC+CHAR,LinearSVM,0.6561690847069499,0.01674325158370293,0.6291740938799762,0.6350877192982456,"{""clf__C"": 0.1}",42.0
lower,REC+CHAR,LogRegresija,0.65592861851624,0.014141981680447798,0.6427518015753311,0.6491228070175439,"{""clf__C"": 1}",41.1
lower+lema,CHAR_3-5,LogRegresija,0.6553174692729427,0.016638851619554317,0.6308506693224011,0.6350877192982456,"{""clf__C"": 1}",40.3
lower+stem,CHAR_3-5,LogRegresija,0.6532116096110008,0.01162899971895707,0.6327938662702711,0.6385964912280702,"{""clf__C"": 1}",42.7
lower+lema,TFIDF_1-2,LogRegresija,0.6508019394344176,0.021688115178478233,0.6146076472547061,0.6175438596491228,"{""clf__C"": 10}",11.7
lower,CHAR_3-5,LogRegresija,0.6496185950232078,0.01404322815176748,0.6291025448032824,0.6350877192982456,"{""clf__C"": 1}",36.7
lower+lema,CHAR_3-5,LinearSVM,0.6491831416978485,0.015214183823501313,0.6274344136823949,0.631578947368421,"{""clf__C"": 0.1}",46.7
lower+stem,CHAR_3-5,LinearSVM,0.6480621991325249,0.00854661478677805,0.6317318753874607,0.6385964912280702,"{""clf__C"": 0.1}",45.7
lower,CHAR_3-5,LinearSVM,0.6473673562789146,0.00922474026451105,0.639848260643474,0.6456140350877193,"{""clf__C"": 0.1}",37.8
