model,cv_macroF1_sr,cv_macroF1_std,test_macroF1,test_tacnost,hiperparametri,vreme_s
RBF-SVM,0.7665924182441394,0.008667099046005503,0.7541101918676288,0.7525773195876289,"{""clf__C"": 1, ""clf__gamma"": ""scale""}",50.5
LogRegresija,0.7502725757126361,0.009819322438138205,0.7654340174846487,0.7663230240549829,"{""clf__C"": 0.01}",4.7
LinearSVM,0.750066379618586,0.007813865849613083,0.7693189109699929,0.7697594501718213,"{""clf__C"": 0.01}",149.1
Vecinski,0.17017638421147194,0.00043416454614779535,0.17050298380221654,0.3436426116838488,{},2.2
