model,cv_macroF1_sr,cv_macroF1_std,test_macroF1,test_tacnost,hiperparametri,vreme_s
RBF-SVM,0.7649755949312607,0.024191172923001804,0.7741171161887275,0.7719298245614035,"{""clf__C"": 10, ""clf__gamma"": ""scale""}",42.4
LogRegresija,0.740729240153452,0.016723993435484218,0.7811612526850699,0.7789473684210526,"{""clf__C"": 0.01}",6.1
LinearSVM,0.7335388500177421,0.022213597756758432,0.7675213750645984,0.7649122807017544,"{""clf__C"": 0.01}",105.4
Vecinski,0.17149451226972007,0.00030101746455068286,0.171875,0.3473684210526316,{},2.5
