model,cv_macroF1_sr,cv_macroF1_std,cv_tacnost_sr,cv_tacnost_std,cv_macroF1_oof,cv_tacnost_oof,hiperparametri,vreme_s
RBF-SVM,0.7703934606862395,0.02798923674932802,0.7699668207133548,0.027870825105120213,0.7705949429568065,0.7699449793672627,"{""C"": 1.0, ""gamma"": ""scale""}",15.9
LogRegresija,0.7152873523220066,0.025491053558182906,0.7152766915511316,0.024960332606534828,0.715622442828593,0.7152682255845942,"{""C"": 1.0}",6.1
LinearSVM,0.7070133602592216,0.020866991280214957,0.7070174191254888,0.02028845041512184,0.707268295373012,0.7070151306740028,"{""C"": 1.0}",44.6
Vecinski,0.17020832753835605,0.0004638995044703418,0.3428463088043607,0.0012535193496755305,0.17020913358941528,0.34284731774415406,{},0.1
