Pocetak izvrsavanja: 2026-08-04T02:13:15+02:00
Uklonjeno 11 dupliranih tekstova.
Ucitano tekstova: 2908

Pokrecem: lower + BOW + MultinomialNB
  Fold  8/10: accuracy=0.5189, macro-F1=0.5053, najbolje={}
  Fold  9/10: accuracy=0.5138, macro-F1=0.5076, najbolje={}
  Fold 10/10: accuracy=0.5207, macro-F1=0.5090, najbolje={}

Pokrecem: lower + TF + LogisticRegression (GridSearch)
  Fold  1/10: accuracy=0.5223, macro-F1=0.5207, najbolje={'classifier__C': 10.0}
  Fold  2/10: accuracy=0.5636, macro-F1=0.5638, najbolje={'classifier__C': 10.0}
  Fold  3/10: accuracy=0.5636, macro-F1=0.5632, najbolje={'classifier__C': 10.0}
  Fold  4/10: accuracy=0.5464, macro-F1=0.5412, najbolje={'classifier__C': 10.0}
  Fold  5/10: accuracy=0.5498, macro-F1=0.5444, najbolje={'classifier__C': 10.0}
  Fold  6/10: accuracy=0.6082, macro-F1=0.6064, najbolje={'classifier__C': 10.0}
  Fold  7/10: accuracy=0.5876, macro-F1=0.5873, najbolje={'classifier__C': 10.0}
  Fold  8/10: accuracy=0.6014, macro-F1=0.6003, najbolje={'classifier__C': 10.0}
  Fold  9/10: accuracy=0.6103, macro-F1=0.6100, najbolje={'classifier__C': 10.0}
  Fold 10/10: accuracy=0.5759, macro-F1=0.5713, najbolje={'classifier__C': 10.0}

Pokrecem: lower + TF + LinearSVM
  Fold  1/10: accuracy=0.5086, macro-F1=0.5047, najbolje={}
  Fold  2/10: accuracy=0.5430, macro-F1=0.5420, najbolje={}
  Fold  3/10: accuracy=0.5464, macro-F1=0.5459, najbolje={}
  Fold  4/10: accuracy=0.5292, macro-F1=0.5211, najbolje={}
  Fold  5/10: accuracy=0.5223, macro-F1=0.5139, najbolje={}
  Fold  6/10: accuracy=0.5601, macro-F1=0.5568, najbolje={}
  Fold  7/10: accuracy=0.5670, macro-F1=0.5650, najbolje={}
  Fold  8/10: accuracy=0.5601, macro-F1=0.5569, najbolje={}
  Fold  9/10: accuracy=0.6034, macro-F1=0.6013, najbolje={}
  Fold 10/10: accuracy=0.5828, macro-F1=0.5774, najbolje={}

Pokrecem: lower + TF + LinearSVM (GridSearch)
  Fold  1/10: accuracy=0.5842, macro-F1=0.5842, najbolje={'classifier__C': 10.0}
  Fold  2/10: accuracy=0.6117, macro-F1=0.6120, najbolje={'classifier__C': 10.0}
  Fold  3/10: accuracy=0.6014, macro-F1=0.6015, najbolje={'classifier__C': 10.0}
  Fold  4/10: accuracy=0.5464, macro-F1=0.5439, najbolje={'classifier__C': 10.0}
  Fold  5/10: accuracy=0.6082, macro-F1=0.6076, najbolje={'classifier__C': 10.0}
  Fold  6/10: accuracy=0.6460, macro-F1=0.6453, najbolje={'classifier__C': 10.0}
  Fold  7/10: accuracy=0.6632, macro-F1=0.6629, najbolje={'classifier__C': 10.0}
  Fold  8/10: accuracy=0.6048, macro-F1=0.6044, najbolje={'classifier__C': 10.0}
  Fold  9/10: accuracy=0.6448, macro-F1=0.6453, najbolje={'classifier__C': 10.0}
  Fold 10/10: accuracy=0.6241, macro-F1=0.6199, najbolje={'classifier__C': 10.0}

Pokrecem: lower + LOG_TF + MultinomialNB
  Fold  1/10: accuracy=0.5773, macro-F1=0.5783, najbolje={'classifier__alpha': 0.5}
  Fold  2/10: accuracy=0.5739, macro-F1=0.5725, najbolje={'classifier__alpha': 0.1}
  Fold  3/10: accuracy=0.6667, macro-F1=0.6669, najbolje={'classifier__alpha': 0.5}
  Fold  4/10: accuracy=0.5773, macro-F1=0.5760, najbolje={'classifier__alpha': 0.5}
  Fold  5/10: accuracy=0.5842, macro-F1=0.5847, najbolje={'classifier__alpha': 0.5}
  Fold  6/10: accuracy=0.6838, macro-F1=0.6839, najbolje={'classifier__alpha': 0.5}
  Fold  7/10: accuracy=0.6495, macro-F1=0.6485, najbolje={'classifier__alpha': 0.5}
  Fold  8/10: accuracy=0.6186, macro-F1=0.6162, najbolje={'classifier__alpha': 1.0}
  Fold  9/10: accuracy=0.6172, macro-F1=0.6170, najbolje={'classifier__alpha': 0.1}
  Fold 10/10: accuracy=0.6069, macro-F1=0.6067, najbolje={'classifier__alpha': 0.1}

Pokrecem: lower + LOG_TF + LogisticRegression
