pretprocesiranje,odlike,model,cv_macroF1_sr,cv_macroF1_std,hiperparametri,vreme_s
lower+stem,TF,LogRegresija,0.6262528622247401,0.020609895538489062,"{""clf__C"": 0.1}",108.0
lower+lema,TF,LogRegresija,0.625520718011741,0.019090658471802947,"{""clf__C"": 0.1}",65.0
lower+lema,TFIDF,MultinomialNB,0.625379872722476,0.019131780951757285,"{""clf__alpha"": 2.0}",5.3
lower+stem,TF,LinearSVM,0.6252959572023287,0.022755677198460115,"{""clf__C"": 0.01}",106.2
lower,CHAR_3-5,MultinomialNB,0.6252004398686688,0.028877413795725313,"{""clf__alpha"": 0.1}",32.7
lower,TFIDF_1-3,MultinomialNB,0.625185642045909,0.026790967588824925,"{""clf__alpha"": 0.1}",18.8
lower,TFIDF,MultinomialNB,0.6223206851779913,0.03124543811262209,"{""clf__alpha"": 0.5}",6.2
lower,IDF,MultinomialNB,0.6217289103100574,0.03712224654710763,"{""clf__alpha"": 0.1}",8.5
lower,TF,MultinomialNB,0.6202805018900605,0.0323281852960642,"{""clf__alpha"": 1.0}",9.1
lower+stem,TF,MultinomialNB,0.6193582323552962,0.016909811809869675,"{""clf__alpha"": 0.5}",107.5
lower+stem,CHAR_3-5,MultinomialNB,0.6191693372820518,0.021522893816502475,"{""clf__alpha"": 0.01}",46.4
lower+lema,CHAR_3-5,MultinomialNB,0.6149673137704553,0.021385056692665046,"{""clf__alpha"": 0.1}",37.4
lower+lema,TF,MultinomialNB,0.6148804105409202,0.022086962933525776,"{""clf__alpha"": 0.1}",65.1
lower,TF,LogRegresija,0.6125616920833435,0.0324821331901185,"{""clf__C"": 0.1}",10.8
lower,TF,LinearSVM,0.6096056208007253,0.027872115787731726,"{""clf__C"": 0.01}",11.9
lower,TF,Vecinski,0.17020832753835605,0.0004638995044703418,{},3.3
lower+stem,TF,Vecinski,0.17020832753835605,0.0004638995044703418,{},9.6
lower+lema,TF,Vecinski,0.17020832753835605,0.0004638995044703418,{},15.0
