pretprocesiranje,odlike,model,macroF1_sr,macroF1_std,tacnost,hiperparametri,vreme_s
sirovo,TFIDF_1-3,LogRegresija,0.6597064095952191,0.030957750664339846,0.6607520067596113,"{""clf__C"": 1}",19.9
lower,TFIDF_1-3,LogRegresija,0.6597064095952191,0.030957750664339846,0.6607520067596113,"{""clf__C"": 1}",19.5
lower+stem,TFIDF_1-2,MultinomialNB,0.6594926285301775,0.027575295908289228,0.6594845796366708,"{""clf__alpha"": 0.1}",8.3
lower+lema,TFIDF_1-2,LinearSVM,0.6591541186302935,0.031085732560351444,0.6599070553443177,"{""clf__C"": 1}",19.9
lower+lema,TFIDF_1-2,MultinomialNB,0.6583781995715119,0.02144054564339608,0.6586396282213772,"{""clf__alpha"": 0.1}",8.6
lower,REC+CHAR,MultinomialNB,0.6582622184751087,0.03096401524407853,0.6582171525137305,"{""clf__alpha"": 0.01}",45.1
sirovo,REC+CHAR,MultinomialNB,0.6582622184751087,0.03096401524407853,0.6582171525137305,"{""clf__alpha"": 0.01}",45.2
lower+lema,IDF,LinearSVM,0.6579877277114654,0.02442060983682976,0.6590621039290241,"{""clf__C"": 0.1}",10.0
sirovo,IDF,LinearSVM,0.6569977488548776,0.0359504689515135,0.6577946768060836,"{""clf__C"": 0.1}",9.1
lower,IDF,LinearSVM,0.6569977488548776,0.0359504689515135,0.6577946768060836,"{""clf__C"": 0.1}",9.5
lower+lema,TFIDF_1-3,LogRegresija,0.6549800738418728,0.02902522533126779,0.6561047739754964,"{""clf__C"": 10}",19.8
lower+lema,TFIDF_1-3,LinearSVM,0.6535449314532997,0.024238348898645956,0.6544148711449091,"{""clf__C"": 1}",22.9
lower+stem,REC+CHAR,MultinomialNB,0.6501724487878706,0.03517327190280464,0.6501901140684411,"{""clf__alpha"": 0.01}",42.8
sirovo,IDF,MultinomialNB,0.6500163138303193,0.03141275272565258,0.6501901140684411,"{""clf__alpha"": 0.5}",3.6
lower,IDF,MultinomialNB,0.6500163138303193,0.03141275272565258,0.6501901140684411,"{""clf__alpha"": 0.5}",3.9
lower+lema,REC+CHAR,MultinomialNB,0.6492934808035533,0.03543693112597425,0.6493451626531475,"{""clf__alpha"": 0.1}",46.4
lower+stem,IDF,MultinomialNB,0.6486207232204373,0.034931323647117755,0.6489226869455006,"{""clf__alpha"": 0.1}",3.6
lower+stem,TF,MultinomialNB,0.6482087064556911,0.0338519097896798,0.648077735530207,"{""clf__alpha"": 1.0}",3.8
lower+stem,TF,LinearSVM,0.6467933537817878,0.029892066249417412,0.6476552598225602,"{""clf__C"": 0.01}",14.1
lower+stem,TFIDF_1-3,MultinomialNB,0.6461234776399307,0.021073749967133047,0.6468103084072666,"{""clf__alpha"": 0.01}",13.1
sirovo,TFIDF_1-3,MultinomialNB,0.6455394953249447,0.013172551118174315,0.6463878326996197,"{""clf__alpha"": 0.01}",13.6
lower,TFIDF_1-3,MultinomialNB,0.6455394953249447,0.013172551118174315,0.6463878326996197,"{""clf__alpha"": 0.01}",13.4
lower+lema,IDF,MultinomialNB,0.6450963148456396,0.03558537801241502,0.6451204055766794,"{""clf__alpha"": 0.5}",3.9
sirovo,TF,MultinomialNB,0.644745387383213,0.03322088426959405,0.6446979298690325,"{""clf__alpha"": 0.5}",20.6
lower,TF,MultinomialNB,0.644745387383213,0.03322088426959405,0.6446979298690325,"{""clf__alpha"": 0.5}",3.9
lower+lema,TFIDF_1-3,MultinomialNB,0.6443793090021444,0.035343050628846504,0.6451204055766794,"{""clf__alpha"": 0.5}",13.4
lower+stem,TFIDF,MultinomialNB,0.64384017440745,0.04178708810584979,0.6438529784537389,"{""clf__alpha"": 0.5}",3.7
sirovo,TFIDF,MultinomialNB,0.6436450478376871,0.0393793540790819,0.6434305027460921,"{""clf__alpha"": 0.1}",3.7
lower,TFIDF,MultinomialNB,0.6436450478376871,0.0393793540790819,0.6434305027460921,"{""clf__alpha"": 0.1}",3.9
sirovo,CHAR_3-5,MultinomialNB,0.6432849994843699,0.032420546208444714,0.6430080270384453,"{""clf__alpha"": 0.1}",37.3
lower,CHAR_3-5,MultinomialNB,0.6432849994843699,0.032420546208444714,0.6430080270384453,"{""clf__alpha"": 0.1}",36.4
lower+stem,CHAR_3-5,MultinomialNB,0.6418893862043855,0.03522762995893063,0.6417405999155048,"{""clf__alpha"": 0.1}",35.5
lower+stem,TF,LogRegresija,0.6412777035889174,0.027278727315061882,0.6421630756231517,"{""clf__C"": 0.1}",12.3
lower+lema,TFIDF,MultinomialNB,0.6399349096781197,0.03182198695429268,0.6400506970849176,"{""clf__alpha"": 0.5}",4.0
lower,TF,LinearSVM,0.6388616258067181,0.027159739663314926,0.6396282213772708,"{""clf__C"": 0.01}",14.3
sirovo,TF,LinearSVM,0.6388616258067181,0.027159739663314926,0.6396282213772708,"{""clf__C"": 0.01}",13.3
lower+lema,TF,MultinomialNB,0.6385193778135834,0.034553403726507816,0.6383607942543303,"{""clf__alpha"": 0.5}",3.9
lower+lema,CHAR_3-5,MultinomialNB,0.6379545052231205,0.03544071734488116,0.6375158428390367,"{""clf__alpha"": 0.1}",38.5
sirovo,TF,LogRegresija,0.6369703526324357,0.024945446392956795,0.6379383185466836,"{""clf__C"": 0.1}",12.0
lower,TF,LogRegresija,0.6369703526324357,0.024945446392956795,0.6379383185466836,"{""clf__C"": 0.1}",12.4
lower+lema,TF,LogRegresija,0.6368226858380323,0.031622587218812864,0.6379383185466836,"{""clf__C"": 0.1}",14.0
lower+lema,TF,LinearSVM,0.6348074642368056,0.031705048558859666,0.6358259400084495,"{""clf__C"": 0.01}",14.3
lower,TF,Vecinski,0.16745631165189523,0.0006749657798811135,0.3354457118715674,{},0.8
sirovo,TF,Vecinski,0.16745631165189523,0.0006749657798811135,0.3354457118715674,{},0.7
lower+stem,TF,Vecinski,0.16745631165189523,0.0006749657798811135,0.3354457118715674,{},0.9
lower+lema,TF,Vecinski,0.16745631165189523,0.0006749657798811135,0.3354457118715674,{},0.9
