upit,jezik,tip,macroF1,tacnost,neparsirano,n
en_few,engleski,few,0.6995945147421399,0.74,0,50
sr_few,srpski,few,0.6995945147421399,0.74,0,50
sr_zero,srpski,zero,0.670571063674512,0.66,0,50
en_def,engleski,def,0.6094173441734417,0.6,0,50
sr_def,srpski,def,0.6086356821589205,0.6,0,50
en_zero,engleski,zero,0.5585264408793821,0.56,0,50
