pretprocesiranje,odlike,model,cv_macroF1_sr,cv_macroF1_std,hiperparametri,vreme_s
lower+stem,TF,LinearSVM,0.6275923424164821,0.03554823565617599,"{""clf__C"": 0.01}",30.9
lower,TFIDF_1-3,LogRegresija,0.6270630510268634,0.033759866288618844,"{""clf__C"": 1}",22.3
lower,CHAR_3-5,MultinomialNB,0.6267200744449195,0.026490640559471285,"{""clf__alpha"": 0.01}",46.0
lower+lema,CHAR_3-5,MultinomialNB,0.6245088121712034,0.028538912797412927,"{""clf__alpha"": 0.1}",40.3
lower+lema,TF,LinearSVM,0.6239714468113254,0.02322603285156494,"{""clf__C"": 0.01}",37.6
lower+stem,CHAR_3-5,MultinomialNB,0.6239397409021785,0.020520191537078226,"{""clf__alpha"": 0.01}",43.9
lower+lema,TF,LogRegresija,0.6226127435778892,0.025756297493956172,"{""clf__C"": 0.1}",42.9
lower,TFIDF,LinearSVM,0.6226088109519637,0.028970859164859974,"{""clf__C"": 1}",11.1
lower+stem,TF,MultinomialNB,0.621924216882989,0.01846050604114984,"{""clf__alpha"": 1.0}",38.0
lower+lema,TF,MultinomialNB,0.6218624653621727,0.026867372677637096,"{""clf__alpha"": 0.5}",49.8
lower,TFIDF,MultinomialNB,0.618291169249158,0.03207019035348401,"{""clf__alpha"": 0.1}",6.5
lower,IDF,MultinomialNB,0.6170523670837985,0.03562727889414681,"{""clf__alpha"": 0.1}",9.9
lower,TF,MultinomialNB,0.6166096902532388,0.03756959737682861,"{""clf__alpha"": 0.5}",10.9
lower,TF,LinearSVM,0.606727552505306,0.030907565991569748,"{""clf__C"": 0.01}",13.4
lower,TF,LogRegresija,0.6053211564529603,0.027791475207855916,"{""clf__C"": 1}",12.5
lower,TF,Vecinski,0.17020832753835605,0.0004638995044703418,{},3.6
lower+stem,TF,Vecinski,0.17020832753835605,0.0004638995044703418,{},16.8
lower+lema,TF,Vecinski,0.17020832753835605,0.0004638995044703418,{},12.4
